series,country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Computer, communications and other services (% of commercial service exports)",Japan,JPN,53.30255683,53.18673236,53.56080498,48.54182956,48.61709601,45.69746413,49.76594599,50.7073415,53.83909745,59.8251058,54.23821421,57.56758506,53.86679442,55.31382208,57.78719247,54.37926972,55.20298405,55.52748252,55.27235526
"Computer, communications and other services (% of commercial service exports)","Korea, Rep.",KOR,34.17136202,33.26459721,34.64518604,33.63601902,33.25939017,37.58364804,40.18435139,39.81895007,36.50040628,43.44803834,37.25154671,42.19976009,44.01816303,47.20268558,47.7864193,46.78976516,50.1813759,53.2161785,51.25800062
"Computer, communications and other services (% of commercial service exports)",Moldova,MDA,27.97711016,29.34800641,25.69598983,29.06061301,34.25067305,34.82262926,37.01725873,35.89959593,36.73031177,41.20480974,42.97957987,42.12353839,40.49254857,40.24558224,42.29868639,42.32103138,40.31840312,39.43126097,42.97037269
"Computer, communications and other services (% of commercial service exports)",Morocco,MAR,32.96389244,28.88907262,33.08446694,34.78912055,33.73023431,31.52107313,30.47310016,32.25586346,32.8914279,37.81450131,36.83750588,33.90457954,35.57070014,32.88000729,32.50014786,35.02275923,36.62452383,34.92610363,36.13242356
"Computer, communications and other services (% of commercial service exports)",Netherlands,NLD,49.02717143,49.03142307,52.4647281,58.40429127,64.81040397,64.7493408,64.7494147,64.75367464,64.69278283,64.75070907,63.22401308,64.32697969,65.31384032,64.94966572,66.78021821,69.55912822,68.48792402,67.61440099,66.19250569
"Computer, communications and other services (% of commercial service exports)",Nepal,NPL,46.53459149,36.87471269,27.26815383,21.98186396,26.1128039,38.17614537,34.61237569,29.28881345,26.60430883,24.60677146,34.13217401,45.16057083,49.88149872,51.69350215,52.61951767,49.73211934,51.87228295,46.7006906,46.48309947
"Computer, communications and other services (% of commercial service exports)",Nigeria,NGA,81.62023557,81.62048995,81.61994455,88.62019946,79.03386982,2.04159297,1.60282437,3.342673783,2.194787771,2.887888219,2.506625915,3.704275467,5.100222514,13.20654307,10.1918984,6.161357234,5.619210023,7.437316368,6.745215958
"Computer, communications and other services (% of commercial service exports)",Norway,NOR,30.50535032,26.68061782,26.75894715,27.27434742,29.28215833,29.15251339,32.80423309,33.20367549,35.21228286,35.87765248,39.99367085,33.34105513,39.56631403,38.50634184,37.1528101,37.84712227,37.27296409,33.15263206,31.29436926
"Computer, communications and other services (% of commercial service exports)",Pakistan,PAK,24.75884244,25.85249802,36.36363636,31.37525916,31.3523814,34.10547068,34.41734417,33.72997712,33.61144219,37.62886598,37.80279768,36.96846977,43.3385273,49.65246298,47.94481982,52.21162186,57.94567918,67.4083886,68.67040548
"Computer, communications and other services (% of commercial service exports)",Panama,PAN,7.067192855,8.071818891,7.900975654,7.999186661,9.331357659,10.65918654,11.15571251,9.982852111,8.177241864,7.825098959,9.189699976,8.515041578,7.650439383,7.009030614,9.172312796,7.649260078,6.816951125,6.330383387,6.393289153
